"t / s","CH1 / V"
0.000449,-0.323232
0.0004495,-0.363636
0.00045,-0.323232
0.0004505,-0.40404
0.000451,-0.363636
0.0004515,-0.323232
0.000452,-0.363636
0.0004525,-0.323232
0.000453,-0.282828
0.0004535,-0.242424
0.000454,-0.282828
0.0004545,-0.282828
0.000455,-0.40404
0.0004555,-0.323232
0.000456,-0.323232
0.0004565,-0.363636
0.000457,-0.363636
0.0004575,-0.363636
0.000458,-0.323232
0.0004585,-0.363636
0.000459,-0.282828
0.0004595,-0.282828
0.00046,-0.323232
0.0004605,-0.323232
0.000461,-0.363636
0.0004615,-0.242424
0.000462,-0.363636
0.0004625,-0.323232
0.000463,-0.323232
0.0004635,-0.282828
0.000464,-0.323232
0.0004645,-0.323232
0.000465,-0.40404
0.0004655,-0.363636
0.000466,-0.323232
0.0004665,-0.323232
0.000467,-0.282828
0.0004675,-0.282828
0.000468,-0.363636
0.0004685,-0.323232
0.000469,-0.323232
0.0004695,-0.363636
0.00047,-0.363636
0.0004705,-0.323232
0.000471,-0.323232
0.0004715,-0.242424
0.000472,-0.323232
0.0004725,-0.323232
0.000473,-0.282828
0.0004735,-0.323232
0.000474,-0.282828
0.0004745,-0.323232
0.000475,-0.363636
0.0004755,-0.363636
0.000476,-0.363636
0.0004765,-0.363636
0.000477,-0.282828
0.0004775,-0.40404
0.000478,-0.282828
0.0004785,-0.323232
0.000479,-0.282828
0.0004795,-0.20202
0.00048,-0.323232
0.0004805,-0.282828
0.000481,-0.323232
0.0004815,-0.282828
0.000482,-0.363636
0.0004825,-0.323232
0.000483,-0.282828
0.0004835,-0.282828
0.000484,-0.323232
0.0004845,-0.242424
0.000485,-0.323232
0.0004855,-0.242424
0.000486,-0.363636
0.0004865,-0.282828
0.000487,-0.282828
0.0004875,-0.282828
0.000488,-0.323232
0.0004885,-0.323232
0.000489,-0.323232
0.0004895,-0.363636
0.00049,-0.323232
0.0004905,-0.40404
0.000491,-0.282828
0.0004915,-0.363636
0.000492,-0.323232
0.0004925,-0.323232
0.000493,-0.282828
0.0004935,-0.363636
0.000494,-0.282828
0.0004945,-0.282828
0.000495,-0.323232
0.0004955,-0.282828
0.000496,-0.323232
0.0004965,-0.323232
0.000497,-0.323232
0.0004975,-0.323232
0.000498,-0.323232
0.0004985,-0.242424
0.000499,-0.323232
0.0004995,-0.363636
0.0005,-0.323232
0.0005005,-0.323232
0.000501,-0.323232
0.0005015,-0.282828
0.000502,-0.323232
0.0005025,-0.282828
0.000503,-0.363636
0.0005035,-0.323232
0.000504,-0.323232
0.0005045,-0.323232
0.000505,-0.282828
0.0005055,-0.323232
0.000506,-0.323232
0.0005065,-0.282828
0.000507,-0.323232
0.0005075,-0.363636
0.000508,-0.40404
0.0005085,-0.323232
0.000509,-0.40404
0.0005095,-0.242424
0.00051,-0.40404
0.0005105,-0.282828
0.000511,-0.323232
0.0005115,-0.363636
0.000512,-0.282828
0.0005125,-0.282828
0.000513,-0.323232
0.0005135,-0.282828
0.000514,-0.242424
0.0005145,-0.323232
0.000515,-0.323232
0.0005155,-0.323232
0.000516,-0.323232
0.0005165,-0.40404
0.000517,-0.323232
0.0005175,-0.323232
0.000518,-0.363636
0.0005185,-0.282828
0.000519,-0.363636
0.0005195,-0.323232
0.00052,-0.323232
0.0005205,-0.363636
0.000521,-0.363636
0.0005215,-0.282828
0.000522,-0.323232
0.0005225,-0.282828
0.000523,-0.323232
0.0005235,-0.363636
0.000524,-0.242424
0.0005245,-0.363636
0.000525,-0.323232
0.0005255,-0.323232
0.000526,-0.323232
0.0005265,-0.323232
0.000527,-0.363636
0.0005275,-0.282828
0.000528,-0.363636
0.0005285,-0.282828
0.000529,-0.242424
0.0005295,-0.323232
0.00053,-0.282828
0.0005305,-0.282828
0.000531,-0.323232
0.0005315,-0.363636
0.000532,-0.323232
0.0005325,-0.40404
0.000533,-0.282828
0.0005335,-0.282828
0.000534,-0.363636
0.0005345,-0.242424
0.000535,-0.40404
0.0005355,-0.242424
0.000536,-0.363636
0.0005365,-0.282828
0.000537,-0.282828
0.0005375,-0.363636
0.000538,-0.242424
0.0005385,-0.363636
0.000539,-0.363636
0.0005395,-0.323232
0.00054,-0.323232
0.0005405,-0.363636
0.000541,-0.363636
0.0005415,-0.282828
0.000542,-0.363636
0.0005425,-0.363636
0.000543,-0.323232
0.0005435,-0.282828
0.000544,-0.323232
0.0005445,-0.363636
0.000545,-0.323232
0.0005455,-0.40404
0.000546,-0.363636
0.0005465,-0.323232
0.000547,-0.363636
0.0005475,-0.363636
0.000548,-0.282828
0.0005485,-0.363636
0.000549,-0.282828
0.0005495,-0.363636
0.00055,-0.323232
0.0005505,-0.282828
0.000551,-0.282828
0.0005515,-0.40404
0.000552,-0.323232
0.0005525,-0.40404
0.000553,-0.40404
0.0005535,-0.323232
0.000554,-0.323232
0.0005545,-0.323232
0.000555,-0.363636
0.0005555,-0.363636
0.000556,-0.323232
0.0005565,-0.242424
0.000557,-0.323232
0.0005575,-0.363636
0.000558,-0.363636
0.0005585,-0.242424
0.000559,-0.282828
0.0005595,-0.282828
0.00056,-0.363636
0.0005605,-0.282828
0.000561,-0.323232
0.0005615,-0.323232
0.000562,-0.242424
0.0005625,-0.323232
0.000563,-0.323232
0.0005635,-0.323232
0.000564,-0.363636
0.0005645,-0.363636
0.000565,-0.242424
0.0005655,-0.323232
0.000566,-0.363636
0.0005665,-0.323232
0.000567,-0.282828
0.0005675,-0.363636
0.000568,-0.363636
0.0005685,-0.323232
0.000569,-0.363636
0.0005695,-0.242424
0.00057,-0.242424
0.0005705,-0.242424
0.000571,-0.323232
0.0005715,-0.323232
0.000572,-0.282828
0.0005725,-0.363636
0.000573,-0.323232
0.0005735,-0.282828
0.000574,-0.323232
0.0005745,-0.323232
0.000575,-0.323232
0.0005755,-0.323232
0.000576,-0.282828
0.0005765,-0.282828
0.000577,-0.282828
0.0005775,-0.242424
0.000578,-0.363636
0.0005785,-0.323232
0.000579,-0.242424
0.0005795,-0.323232
0.00058,-0.323232
0.0005805,-0.363636
0.000581,-0.363636
0.0005815,-0.363636
0.000582,-0.242424
0.0005825,-0.282828
0.000583,-0.363636
0.0005835,-0.363636
0.000584,-0.323232
0.0005845,-0.282828
0.000585,-0.282828
0.0005855,-0.323232
0.000586,-0.363636
0.0005865,-0.323232
0.000587,-0.282828
0.0005875,-0.242424
0.000588,-0.323232
0.0005885,-0.323232
0.000589,-0.242424
0.0005895,-0.242424
0.00059,-0.282828
0.0005905,-0.323232
0.000591,-0.282828
0.0005915,-0.242424
0.000592,-0.323232
0.0005925,-0.323232
0.000593,-0.282828
0.0005935,-0.363636
0.000594,-0.242424
0.0005945,-0.363636
